FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,,United Kingdom,2020-04-01 21:58:34,55.3781,-3.4360000000000004,29474,2352,135,26987,United Kingdom
,,,Uruguay,2020-04-01 21:58:34,-32.5228,-55.7658,338,2,41,295,Uruguay
,,,Uzbekistan,2020-04-01 21:58:34,41.377491,64.585262,181,2,12,167,Uzbekistan
,,,Venezuela,2020-04-01 21:58:34,6.4238,-66.5897,143,3,41,99,Venezuela
,,,Vietnam,2020-04-01 21:58:34,14.058323999999999,108.277199,218,0,63,155,Vietnam
,,,West Bank and Gaza,2020-04-01 21:58:34,31.9522,35.2332,134,1,18,115,West Bank and Gaza
,,,Zambia,2020-04-01 21:58:34,-13.133897,27.849332,36,0,0,36,Zambia
,,,Zimbabwe,2020-04-01 21:58:34,-19.015438,29.154857,8,1,0,7,Zimbabwe
,,Alberta,Canada,4/2/20 23:31,53.9333,-116.5765,969,13,0,0,"Alberta, Canada"
,,Anguilla,United Kingdom,4/2/20 23:25,18.2206,-63.0686,3,0,0,3,"Anguilla, United Kingdom"
,,Anhui,China,3/8/20 5:19,31.8257,117.2264,990,6,984,0,"Anhui, China"
,,Aruba,Netherlands,4/2/20 23:25,12.5211,-69.9683,60,0,1,59,"Aruba, Netherlands"
,,Australian Capital Territory,Australia,4/2/20 23:32,-35.4735,149.0124,87,1,11,75,"Australian Capital Territory, Australia"
,,Beijing,China,4/2/20 2:23,40.1824,116.4142,582,8,424,150,"Beijing, China"
,,Bermuda,United Kingdom,4/2/20 23:25,32.3078,-64.7505,35,0,11,24,"Bermuda, United Kingdom"
,,"Bonaire, Sint Eustatius and Saba",Netherlands,4/2/20 23:25,12.1784,-68.2385,2,0,0,2,"Bonaire, Sint Eustatius and Saba, Netherlands"
,,British Columbia,Canada,4/2/20 23:31,53.7267,-127.6476,1121,31,0,0,"British Columbia, Canada"
,,British Virgin Islands,United Kingdom,4/2/20 23:25,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,4/2/20 23:25,19.3133,-81.2546,28,1,0,27,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,4/2/20 23:25,49.3723,-2.3644,193,3,0,190,"Channel Islands, United Kingdom"
,,Chongqing,China,3/29/20 0:14,30.0572,107.874,579,6,570,3,"Chongqing, China"
,,Curacao,Netherlands,4/2/20 23:25,12.1696,-68.99,11,1,3,7,"Curacao, Netherlands"
,,Diamond Princess,Canada,4/2/20 23:31,,,0,1,0,0,"Diamond Princess, Canada"
,,Faroe Islands,Denmark,4/2/20 23:25,61.8926,-6.9118,177,0,81,96,"Faroe Islands, Denmark"
